列名列表： ['日期', '指数代码', '指数名称', '指数英文名称', '成分券代码', '成分券名称', '成分券英文名称', '交易所', '交易所英文名称']
沪深300成分股当前价格从高到低排序：
序号: 1, 股票代码: 600519, 股票名称: 贵州茅台, 当前价格: 1545.00
序号: 2, 股票代码: 688256, 股票名称: 寒武纪, 当前价格: 565.96
序号: 3, 股票代码: 002371, 股票名称: 北方华创, 当前价格: 431.01
序号: 4, 股票代码: 002594, 股票名称: 比亚迪, 当前价格: 327.51
序号: 5, 股票代码: 688111, 股票名称: 金山办公, 当前价格: 286.30
序号: 6, 股票代码: 605499, 股票名称: 东鹏饮料, 当前价格: 256.00
序号: 7, 股票代码: 300033, 股票名称: 同花顺, 当前价格: 251.30
序号: 8, 股票代码: 688506, 股票名称: 百利天恒, 当前价格: 225.74
序号: 9, 股票代码: 300750, 股票名称: 宁德时代, 当前价格: 219.05
序号: 10, 股票代码: 600809, 股票名称: 山西汾酒, 当前价格: 216.50
序号: 11, 股票代码: 300760, 股票名称: 迈瑞医疗, 当前价格: 214.11
序号: 12, 股票代码: 600436, 股票名称: 片仔癀, 当前价格: 204.80
序号: 13, 股票代码: 688169, 股票名称: 石头科技, 当前价格: 184.52
序号: 14, 股票代码: 688012, 股票名称: 中微公司, 当前价格: 176.14
序号: 15, 股票代码: 000596, 股票名称: 古井贡酒, 当前价格: 172.08
序号: 16, 股票代码: 300896, 股票名称: 爱美客, 当前价格: 171.44
序号: 17, 股票代码: 688041, 股票名称: 海光信息, 当前价格: 134.23
序号: 18, 股票代码: 688271, 股票名称: 联影医疗, 当前价格: 131.60
序号: 19, 股票代码: 000858, 股票名称: 五 粮 液, 当前价格: 130.76
序号: 20, 股票代码: 000568, 股票名称: 泸州老窖, 当前价格: 129.00
序号: 21, 股票代码: 601799, 股票名称: 星宇股份, 当前价格: 122.39
序号: 22, 股票代码: 601127, 股票名称: 赛力斯, 当前价格: 121.80
序号: 23, 股票代码: 301269, 股票名称: 华大九天, 当前价格: 116.30
序号: 24, 股票代码: 603501, 股票名称: 韦尔股份, 当前价格: 115.15
序号: 25, 股票代码: 600941, 股票名称: 中国移动, 当前价格: 111.60
序号: 26, 股票代码: 002916, 股票名称: 深南电路, 当前价格: 104.45
序号: 27, 股票代码: 603986, 股票名称: 兆易创新, 当前价格: 103.48
序号: 28, 股票代码: 000661, 股票名称: 长春高新, 当前价格: 96.70
序号: 29, 股票代码: 002920, 股票名称: 德赛西威, 当前价格: 94.94
序号: 30, 股票代码: 688082, 股票名称: 盛美上海, 当前价格: 93.53
序号: 31, 股票代码: 300661, 股票名称: 圣邦股份, 当前价格: 89.72
序号: 32, 股票代码: 688981, 股票名称: 中芯国际, 当前价格: 85.00
序号: 33, 股票代码: 688036, 股票名称: 传音控股, 当前价格: 84.49
序号: 34, 股票代码: 605117, 股票名称: 德业股份, 当前价格: 82.00
序号: 35, 股票代码: 600600, 股票名称: 青岛啤酒, 当前价格: 79.30
序号: 36, 股票代码: 002304, 股票名称: 洋河股份, 当前价格: 74.46
序号: 37, 股票代码: 300782, 股票名称: 卓胜微, 当前价格: 72.30
序号: 38, 股票代码: 300308, 股票名称: 中际旭创, 当前价格: 72.28
序号: 39, 股票代码: 601100, 股票名称: 恒立液压, 当前价格: 70.88
序号: 40, 股票代码: 300502, 股票名称: 新易盛, 当前价格: 70.37
序号: 41, 股票代码: 000333, 股票名称: 美的集团, 当前价格: 70.23
序号: 42, 股票代码: 002028, 股票名称: 思源电气, 当前价格: 69.31
序号: 43, 股票代码: 603195, 股票名称: 公牛集团, 当前价格: 68.60
序号: 44, 股票代码: 603833, 股票名称: 欧派家居, 当前价格: 66.68
序号: 45, 股票代码: 688008, 股票名称: 澜起科技, 当前价格: 65.80
序号: 46, 股票代码: 603392, 股票名称: 万泰生物, 当前价格: 65.50
序号: 47, 股票代码: 002049, 股票名称: 紫光国微, 当前价格: 62.78
序号: 48, 股票代码: 300124, 股票名称: 汇川技术, 当前价格: 62.40
序号: 49, 股票代码: 300394, 股票名称: 天孚通信, 当前价格: 62.23
序号: 50, 股票代码: 603019, 股票名称: 中科曙光, 当前价格: 61.25
序号: 51, 股票代码: 601888, 股票名称: 中国中免, 当前价格: 60.79
序号: 52, 股票代码: 600309, 股票名称: 万华化学, 当前价格: 60.25
序号: 53, 股票代码: 603296, 股票名称: 华勤技术, 当前价格: 58.70
序号: 54, 股票代码: 000538, 股票名称: 云南白药, 当前价格: 56.86
序号: 55, 股票代码: 300274, 股票名称: 阳光电源, 当前价格: 55.71
序号: 56, 股票代码: 300832, 股票名称: 新产业, 当前价格: 54.08
序号: 57, 股票代码: 603260, 股票名称: 合盛硅业, 当前价格: 54.07
序号: 58, 股票代码: 603369, 股票名称: 今世缘, 当前价格: 54.01
序号: 59, 股票代码: 600660, 股票名称: 福耀玻璃, 当前价格: 53.68
序号: 60, 股票代码: 603259, 股票名称: 药明康德, 当前价格: 51.61
序号: 61, 股票代码: 601021, 股票名称: 春秋航空, 当前价格: 51.15
序号: 62, 股票代码: 002311, 股票名称: 海大集团, 当前价格: 50.28
序号: 63, 股票代码: 300442, 股票名称: 润泽科技, 当前价格: 50.00
序号: 64, 股票代码: 601318, 股票名称: 中国平安, 当前价格: 49.26
序号: 65, 股票代码: 300979, 股票名称: 华利集团, 当前价格: 48.98
序号: 66, 股票代码: 600276, 股票名称: 恒瑞医药, 当前价格: 48.70
序号: 67, 股票代码: 601336, 股票名称: 新华保险, 当前价格: 47.52
序号: 68, 股票代码: 300347, 股票名称: 泰格医药, 当前价格: 45.95
序号: 69, 股票代码: 601689, 股票名称: 拓普集团, 当前价格: 45.86
序号: 70, 股票代码: 000977, 股票名称: 浪潮信息, 当前价格: 44.63
序号: 71, 股票代码: 000651, 股票名称: 格力电器, 当前价格: 44.62
序号: 72, 股票代码: 688187, 股票名称: 时代电气, 当前价格: 43.75
序号: 73, 股票代码: 000999, 股票名称: 华润三九, 当前价格: 43.18
序号: 74, 股票代码: 002230, 股票名称: 科大讯飞, 当前价格: 42.79
序号: 75, 股票代码: 600760, 股票名称: 中航沈飞, 当前价格: 42.00
序号: 76, 股票代码: 688396, 股票名称: 华润微, 当前价格: 41.80
序号: 77, 股票代码: 002714, 股票名称: 牧原股份, 当前价格: 41.35
序号: 78, 股票代码: 002179, 股票名称: 中航光电, 当前价格: 41.30
序号: 79, 股票代码: 002352, 股票名称: 顺丰控股, 当前价格: 41.20
序号: 80, 股票代码: 603288, 股票名称: 海天味业, 当前价格: 41.20
序号: 81, 股票代码: 600036, 股票名称: 招商银行, 当前价格: 41.15
序号: 82, 股票代码: 300014, 股票名称: 亿纬锂能, 当前价格: 40.54
序号: 83, 股票代码: 601088, 股票名称: 中国神华, 当前价格: 39.18
序号: 84, 股票代码: 000963, 股票名称: 华东医药, 当前价格: 36.40
序号: 85, 股票代码: 601628, 股票名称: 中国人寿, 当前价格: 35.74
序号: 86, 股票代码: 600085, 股票名称: 同仁堂, 当前价格: 35.70
序号: 87, 股票代码: 002422, 股票名称: 科伦药业, 当前价格: 34.29
序号: 88, 股票代码: 300408, 股票名称: 三环集团, 当前价格: 33.84
序号: 89, 股票代码: 300628, 股票名称: 亿联网络, 当前价格: 33.83
序号: 90, 股票代码: 600893, 股票名称: 航发动力, 当前价格: 32.61
序号: 91, 股票代码: 300999, 股票名称: 金龙鱼, 当前价格: 32.33
序号: 92, 股票代码: 000408, 股票名称: 藏格矿业, 当前价格: 32.21
序号: 93, 股票代码: 601995, 股票名称: 中金公司, 当前价格: 32.03
序号: 94, 股票代码: 600009, 股票名称: 上海机场, 当前价格: 31.63
序号: 95, 股票代码: 000063, 股票名称: 中兴通讯, 当前价格: 30.36
序号: 96, 股票代码: 600584, 股票名称: 长电科技, 当前价格: 30.00
序号: 97, 股票代码: 601601, 股票名称: 中国太保, 当前价格: 29.86
序号: 98, 股票代码: 002460, 股票名称: 赣锋锂业, 当前价格: 29.50
序号: 99, 股票代码: 600900, 股票名称: 长江电力, 当前价格: 29.05
序号: 100, 股票代码: 002475, 股票名称: 立讯精密, 当前价格: 29.00
序号: 101, 股票代码: 603799, 股票名称: 华友钴业, 当前价格: 28.93
序号: 102, 股票代码: 000786, 股票名称: 北新建材, 当前价格: 28.86
序号: 103, 股票代码: 600887, 股票名称: 伊利股份, 当前价格: 28.73
序号: 104, 股票代码: 300418, 股票名称: 昆仑万维, 当前价格: 28.69
序号: 105, 股票代码: 600150, 股票名称: 中国船舶, 当前价格: 28.64
序号: 106, 股票代码: 600745, 股票名称: 闻泰科技, 当前价格: 28.61
序号: 107, 股票代码: 002415, 股票名称: 海康威视, 当前价格: 28.09
